Employee {0} is not active or does not exist,Nhân viên {0} không hoạt động hoặc không tồn tại,
Employee {0} is on Leave on {1},Nhân viên {0} vào Ngày khởi hành {1},
Employee {0} on Half day on {1},Employee {0} vào ngày nửa trên {1},
End time cannot be before start time,Thời gian kết thúc không thể trước thời gian bắt đầu,
Evaluation,Đánh giá,
Event Location,Vị trí sự kiện,
Event Name,Tên sự kiện,
Expense Claim for Vehicle Log {0},Chi phí khiếu nại cho xe Log {0},
Expense Claim {0} already exists for the Vehicle Log,Chi phí khiếu nại {0} đã tồn tại cho Log xe,
Fill the form and save it,Điền vào mẫu và lưu nó,
Filter Employees By (Optional),Lọc nhân viên theo (Tùy chọn),
Fiscal Year {0} not found,Năm tài chính {0} không tìm thấy,
Food,Thực phẩm,
For Employee,Nhân viên,
From Date {0} cannot be after employee's relieving Date {1},Từ ngày {0} không thể sau ngày giảm lương của nhân viên {1},
From Date {0} cannot be before employee's joining Date {1},Từ ngày {0} không thể trước ngày tham gia của nhân viên Ngày {1},
From date can not be less than employee's joining date,Từ ngày không thể nhỏ hơn ngày tham gia của nhân viên,
Fuel Price,Giá,
Fuel Qty,Số lượng,
Full-time,Toàn thời gian,
Future dates not allowed,Các ngày trong tương lai không được phép,
Get Details From Declaration,Nhận thông tin chi tiết từ Tuyên bố,
Get Employees,Nhận nhân viên,
Gross Pay,Tổng trả,
Guest,Khách,
Half Day,Nửa ngày,
Half Day Date is mandatory,Ngày nửa ngày là bắt buộc,
Half Day Date should be between From Date and To Date,"Kỳ hạn nửa ngày nên ở giữa mục ""từ ngày"" và ""tới ngày""",
Half Day Date should be in between Work From Date and Work End Date,Ngày Nửa Ngày phải ở giữa Ngày Làm Việc Từ Ngày và Ngày Kết Thúc Công Việc,
Half day date should be in between from date and to date,Ngày nửa ngày phải ở giữa ngày và giờ,
Hello,xin chào,
House rent paid days overlapping with {0},Tiền thuê nhà ngày trả chồng chéo với {0},
House rented dates required for exemption calculation,Ngày thuê nhà được yêu cầu để tính miễn thuế,
House rented dates should be atleast 15 days apart,Ngày thuê nhà nên cách nhau ít nhất 15 ngày,
Interest Amount,Số tiền lãi,
Intern,Thực tập,
Job Description,Mô tả công việc,
Job Offer,Thư mời nhận việc,
Jobs,Việc làm,
Leave Approval Notification,Thông báo Phê duyệt Nghỉ phép,
Leave Blocked,Nghỉ phép bị chặn,
Leave Encashment,Chuyển phép,
Leave Status Notification,Thông báo Tình trạng Nghỉ phép,
Leave Type,Loại nghỉ,
Leave Type is madatory,Loại Nghỉ phép là bắt buộc,
Leave Type {0} cannot be allocated since it is leave without pay,Loại nghỉ {0} không thể được phân bổ vì đó là nghỉ không lương,
Leave Type {0} cannot be carry-forwarded,Loại nghỉ {0} không thể được chuyển tiếp,
Leave Type {0} is not encashable,,
Leave Without Pay,Nghỉ không lương,
"Leave cannot be allocated before {0}, as leave balance has already been carry-forwarded in the future leave allocation record {1}","Nghỉ phép không thể được phân bổ trước ngày {0}, vì số ngày nghỉ đã được chuyển tiếp trong hồ sơ phân bổ nghỉ tương lai {1}",
"Leave cannot be applied/cancelled before {0}, as leave balance has already been carry-forwarded in the future leave allocation record {1}","Nghỉ phép không thể được áp dụng/hủy trước ngày {0}, vì số ngày nghỉ đã được chuyển tiếp trong hồ sơ phân bổ nghỉ tương lai {1}",
Leave of type {0} cannot be longer than {1},Nghỉ loại {0} không thể dài hơn {1},
Leaves,Đơn xin nghỉ 12,
Leaves Allocated Successfully for {0},Đã phân bổ ngày nghỉ thành công cho {0},
Leaves Expired,Lá đã hết hạn
Leaves has been granted sucessfully,Lá đã được cấp thành công
Leaves must be allocated in multiples of 0.5,"Các di dời phải được phân bổ trong bội số của 0,5"
Leaves per Year,Số lần nghỉ phép trong năm,
Leaves Taken,Lá lấy
Leaving Certificate Number,Di dời số chứng chỉ
Lifecycle,Quá trình (Lifecycle),
Mark Attendance,Điểm danh (Mark Attendance),
Max Exemption Amount cannot be greater than maximum exemption amount {0} of Tax Exemption Category {1},Số tiền miễn thuế tối đa không thể lớn hơn số tiền miễn thuế tối đa {0} của Danh mục Miễn thuế Thuế {1},
Max benefits should be greater than zero to dispense benefits,Lợi ích tối đa phải lớn hơn 0 để cấp phúc lợi,
Max Discount (%),Giảm giá tối đa (%)
Max discount allowed for item: {0} is {1}%,Tối đa cho phép giảm giá cho mặt hàng: {0} {1}%
Maximum amount eligible for the component {0} exceeds {1},Số tiền tối đa được phép cho thành phần {0} vượt quá {1},
Maximum benefit amount of component {0} exceeds {1},Số tiền lợi ích tối đa của thành phần {0} vượt quá {1},
Maximum benefit amount of employee {0} exceeds {1},Số tiền lợi ích tối đa của nhân viên {0} vượt quá {1},
Maximum leave allowed in the leave type {0} is {1},Số ngày nghỉ tối đa được cho phép trong loại nghỉ {0} là {1},
Medical,Y tế (Medical),
Mode of payment is required to make a payment,Cần phải có Phương thức thanh toán để thực hiện thanh toán,
More than one selection for {0} not allowed,Không được phép chọn nhiều hơn một lựa chọn cho {0},
Net Pay,Lương Net,
Net Pay cannot be less than 0,Lương Net không được nhỏ hơn 0,
Net Salary Amount,Số tiền Lương Net,
Net pay cannot be negative,Lương Net không thể âm,
No Employee Found,Không tìm thấy Nhân viên nào,
No Salary Structure assigned for Employee {0} on given date {1},Không có cấu trúc lương được gán cho Nhân viên {0} vào ngày được cung cấp {1},
No Staffing Plans found for this Designation,Không tìm thấy Kế hoạch Nhân sự nào cho chức vụ này,
No active or default Salary Structure found for employee {0} for the given dates,Không tìm thấy cấu trúc lương hoạt động hoặc mặc định nào cho nhân viên {0} cho các ngày đã được cung cấp,
No more updates,Không có cập nhật thêm,
No replies from,Không có trả lời từ,
No salary slip found to submit for the above selected criteria OR salary slip already submitted,Không tìm thấy phiếu lương nào để nộp theo các tiêu chí đã chọn hoặc đã nộp phiếu lương,
Nothing to change,Không có gì để thay đổi,
Notice Period,Thời gian thông báo,
Only Leave Applications with status 'Approved' and 'Rejected' can be submitted,Chỉ các Đơn xin nghỉ có trạng thái 'Đã phê duyệt' và 'Từ chối' mới có thể được nộp,
Optional Holiday List not set for leave period {0},Danh sách ngày nghỉ lựa chọn không được thiết lập cho giai đoạn nghỉ {0},
Part-time,Bán thời gian,
Password policy for Salary Slips is not set,Chính sách mật khẩu cho Phiếu lương chưa được thiết lập,
Payment Days,Ngày công,
Payment of {0} from {1} to {2},Thanh toán của {0} từ {1} đến {2},
Payroll,Lương,
Payroll Number,Số lương,
Payroll Payable,Bảng lương phải trả
Piecework,Làm việc theo đơn hàng (Piecework),
Please add the remaining benefits {0} to any of the existing component,Vui lòng thêm các lợi ích còn lại {0} vào bất kỳ thành phần hiện tại nào,
Please confirm once you have completed your training,Vui lòng xác nhận khi bạn đã hoàn thành quá trình đào tạo,
Please enable default incoming account before creating Daily Work Summary Group,Vui lòng bật tài khoản mặc định trước khi tạo Nhóm Tổng kết Công việc Hằng ngày,
Please select Company and Designation,Vui lòng chọn Công ty và Chức vụ,
Please select Employee,Vui lòng chọn Nhân viên,
Please select a csv file,Vui lòng chọn tệp CSV,
Please set default template for Leave Approval Notification in HR Settings.,Vui lòng thiết lập mẫu mặc định cho Thông báo Phê duyệt Nghỉ phép trong Cài đặt HR.,
Please set default template for Leave Status Notification in HR Settings.,Vui lòng thiết lập mẫu mặc định cho Thông báo Tình trạng Nghỉ phép trong Cài đặt HR.,
Please set the Company,Vui lòng chọn Công ty,
Please set the Date Of Joining for employee {0},Vui lòng thiết lập Ngày bắt đầu làm việc cho nhân viên {0},
Please share your feedback to the training by clicking on 'Training Feedback' and then 'New',Vui lòng chia sẻ ý kiến của bạn về quá trình đào tạo bằng cách nhấn vào 'Phản hồi về Đào tạo' và sau đó chọn 'Mới',
Please update your status for this training event,Vui lòng cập nhật trạng thái của bạn cho sự kiện đào tạo này,
Present,Có mặt,
Preview Salary Slip,Xem trước Phiếu lương,
Privilege Leave,Nghỉ có lương,
Probation,Thử việc,
Probationary Period,Thời gian thử việc,
Property,Thuộc tính,
Property already added,Tài sản đã được thêm,
Replies,Các phản hồi,
Responsibilities,Trách nhiệm,
Role,Vai trò (Role),
Row {0}# Allocated amount {1} cannot be greater than unclaimed amount {2},Dòng {0}# Số tiền được phân bổ {1} không thể lớn hơn số tiền chưa được yêu cầu {2},
Row {0}# Paid Amount cannot be greater than requested advance amount,Hàng {0}# Số tiền đã thanh toán không thể lớn hơn số tiền ứng trước được yêu cầu",
Salary Slip ID,Mã số Phiếu lương,
Salary Slip of employee {0} already created for this period,Bảng lương của nhân viên {0} đã được tạo cho khoảng thời gian này,
Salary Slip of employee {0} already created for time sheet {1},Bảng lương của nhân viên {0} đã được tạo cho phiếu thời gian {1},
Salary Slip submitted for period from {0} to {1},Phiếu lương đã được gửi cho khoảng thời gian từ {0} đến {1}
Salary Structure Assignment for Employee already exists,Gán Cấu trúc Lương cho Nhân viên đã tồn tại,
Salary Structure Missing,Thiếu Cấu trúc Lương,
Salary Structure must be submitted before submission of Tax Ememption Declaration,Cơ cấu tiền lương phải được nộp trước khi nộp Tuyên bố miễn thuế
Salary Structure not found for employee {0} and date {1},Không tìm thấy Cấu trúc lương cho nhân viên {0} và ngày {1},
Salary Structure should have flexible benefit component(s) to dispense benefit amount,Cấu trúc lương cần có thành phần lợi ích linh hoạt để cấp số tiền lợi ích,
"Salary already processed for period between {0} and {1}, Leave application period cannot be between this date range.","Lương đã được xử lý cho khoảng thời gian từ {0} đến {1}, thời gian đơn xin nghỉ không thể nằm trong khoảng thời gian này.",
Sanctioned Amount cannot be greater than Claim Amount in Row {0}.,Số tiền được phê duyệt không thể lớn hơn Số tiền đòi hỏi trong Hàng {0}.,
Score must be less than or equal to 5,Điểm phải nhỏ hơn hoặc bằng 5,
Select Property,Chọn Tài sản,
Select an employee to get the employee advance.,Chọn một Nhân viên để nhận ứng lương trước.,
Service Expense,Chi phí Dịch vụ,
Show Employee,Hiển thị Nhân viên,
Show Salary Slip,Hiển thị Phiếu lương,
Sick Leave,Nghỉ ốm,
"Skipping Salary Structure Assignment for the following employees, as Salary Structure Assignment records already exists against them. {0}","Bỏ qua việc gán cấu trúc lương cho các nhân viên sau, vì đã có hồ sơ gán cấu trúc lương cho họ. {0}""",
Staffing Plan {0} already exist for designation {1},Kế hoạch Nhân sự {0} đã tồn tại cho chức vụ {1},
"Start and end dates not in a valid Payroll Period, cannot calculate {0}","Ngày bắt đầu và kết thúc không nằm trong một Kỳ lương hợp lệ, không thể tính {0}",
"Start and end dates not in a valid Payroll Period, cannot calculate {0}.","Ngày bắt đầu và kết thúc không nằm trong một Kỳ lương hợp lệ, không thể tính {0}.",
Stock Options,Tùy chọn hàng tồn kho,
Structures have been assigned successfully,Cấu trúc đã được gán thành công,
Submit Proof,Nộp chứng cứ,
Submit Salary Slip,Nộp Phiếu lương,
Submit this to create the Employee record,Đệ trình điều này để tạo hồ sơ Nhân viên,
Submitting Salary Slips...,Đang gửi Phiếu lương...,
Team Updates,Cập nhật Nhóm,
Thank you,Cảm ơn bạn,
The day(s) on which you are applying for leave are holidays. You need not apply for leave.,"Các ngày mà bạn đang xin nghỉ là ngày lễ. Bạn không cần phải xin nghỉ,
The field From Shareholder cannot be blank,Trường Từ Cổ Đông không được để trống,
The field To Shareholder cannot be blank,Trường Đối với Cổ Đông không được để trống,
The fields From Shareholder and To Shareholder cannot be blank,Các lĩnh vực từ cổ đông và cổ đông không được để trống,
The folio numbers are not matching,Các số folio không khớp,
The holiday on {0} is not between From Date and To Date,Các kỳ nghỉ vào {0} không ở giữa 'từ ngày' và 'tới ngày',
The name of the institute for which you are setting up this system.,Tên của tổ chức  mà bạn đang thiết lập hệ thống này.,
The name of your company for which you are setting up this system.,Tên của công ty bạn đang thiết lập hệ thống này.,
The number of shares and the share numbers are inconsistent,Số cổ phần và số cổ phần không nhất quán,
The payment gateway account in plan {0} is different from the payment gateway account in this payment request,Tài khoản cổng thanh toán trong gói {0} khác với tài khoản cổng thanh toán trong yêu cầu thanh toán này,
The selected BOMs are not for the same item,Các BOMs chọn không cho cùng một mục,
The selected item cannot have Batch,Các sản phẩm được chọn không thể có hàng loạt,
The seller and the buyer cannot be the same,Người bán và người mua không thể giống nhau,
The shareholder does not belong to this company,Cổ đông không thuộc công ty này,
The shares already exist,Cổ phiếu đã tồn tại,
The shares don't exist with the {0},Cổ phần không tồn tại với {0},
The task has been enqueued as a background job. In case there is any issue on processing in background",the system will add a comment about the error on this Stock Reconciliation and revert to the Draft stage"
There are more holidays than working days this month.,Có nhiều ngày nghỉ hơn số ngày làm việc trong tháng này.,
There is no leave period in between {0} and {1},Không có giai đoạn nghỉ phép giữa {0} và {1},
This is based on the attendance of this Employee,Dựa trên sự điểm danh của Nhân viên này,
This will submit Salary Slips and create accrual Journal Entry. Do you want to proceed?,Nhấn chấp nhận sẽ gửi Phiếu lương và tạo ghi chú Kế toán. Bạn có muốn tiếp tục không?,
To date can not be equal or less than from date,Ngày kết thúc không thể bằng hoặc ít hơn ngày bắt đầu,
To date can not be less than from date,Ngày kết thúc không thể ít hơn ngày bắt đầu,
To date can not greater than employee's relieving date,Ngày kết thúc không thể lớn hơn ngày kết thúc của Nhân viên,
Total Absent,Tổng số ngày vắng mặt,
Total Deduction,Tổng khấu trừ,
Total Leaves,Tổng số ngày nghỉ,
Total Present,Tổng số ngày có mặt,
Total advance amount cannot be greater than total sanctioned amount,Tổng số tiền ứng không thể lớn hơn tổng số tiền được cấp phép,
Total flexible benefit component amount {0} should not be less than max benefits {1},Tổng số tiền của thành phần lợi ích linh hoạt {0} không nên ít hơn lợi ích tối đa {1},
Total leaves allocated is mandatory for Leave Type {0},Tổng số ngày nghỉ được phân bổ là bắt buộc cho Loại nghỉ {0},
Total working hours should not be greater than max working hours {0},Tổng số giờ làm việc không nên lớn hơn số giờ làm việc tối đa {0},
Training,Đào tạo,
Training Event,Sự kiện Đào tạo,
Training Events,Các Sự kiện Đào tạo,
Training Feedback,Phản hồi sự kiện đào tạo,
Training Result,Kết quả Đào tạo,
Travel,Chuyến đi,
Update Response,Cập nhật Phản hồi,
Value missing,Thiếu giá trị,
Variable,Biến đổi,
Walk In,Nhập hồ sơ,
Warning: Leave application contains following block dates,Cảnh báo: Đơn xin nghỉ chứa các ngày chặn sau đây,
Website Listing,Danh sách trang web,
Work Summary for {0},Bản tóm tắt công việc cho {0},
You are not authorized to approve leaves on Block Dates,Bạn không được phép phê duyệt đơn xin nghỉ vào các ngày chặn,
You are not present all day(s) between compensatory leave request days,Anh/chị không có mặt suốt ngày/những ngày giữa các ngày nghỉ bù yêu cầu.,
You can only submit Leave Encashment for a valid encashment amount,Bạn chỉ có thể đệ trình Đền bù Nghỉ phép cho số tiền đền bù hợp lệ,
{0} already allocated for Employee {1} for period {2} to {3},{0} đã được phân phối cho nhân viên {1} cho kỳ {2} đến {3},
{0} applicable after {1} working days,{0} áp dụng sau {1} ngày làm việc,
{0} is not in Optional Holiday List,{0} không có trong Danh Sách Ngày Nghỉ Tùy Chọn,
{0} is not in a valid Payroll Period,{0} không có trong Kỳ Phát Lương hợp lệ,
{0} must be submitted,{0} phải được gửi,
"{0}: Employee email not found, hence email not sent",{0}: không tìm thấy email của nhân viên. do đó không gửi được email,
{0}: From {0} of type {1},{0}: Từ {0} của loại {1},
Conditions,Điều kiện,
Percent,Tỷ lệ phần trăm,
Error in some rows,Lỗi ở một số hàng,
Benefit,Lợi ích,
Shift,Ca làm việc,
Importing {0} of {1},Nhập {0} trong số {1},
'employee_field_value' and 'timestamp' are required.,&#39;worker_field_value&#39; và &#39;dấu thời gian&#39; là bắt buộc.,
Allocation Expired!,Phân bổ hết hạn!,
Attendance Marked,Tham dự đánh dấu,
Attendance has been marked as per employee check-ins,Tham dự đã được đánh dấu theo đăng ký nhân viên,
Date Range,Phạm vi ngày,
Event Link,Liên kết sự kiện,
Expire Allocation,Phân bổ hết hạn,
Fuel Expense,Chi phí nhiên liệu,
Intermediate,Trung cấp,
Leave application is linked with leave allocations {0}. Leave application cannot be set as leave without pay,Đơn xin nghỉ được liên kết với việc phân bổ nghỉ {0}. Đơn xin nghỉ không thể được đặt là nghỉ không lương.,
Log Type is required for check-ins falling in the shift: {0}.,Loại nhật ký cần thiết cho việc check-in trong ca làm việc: {0}.,
No Employee found for the given employee field value. '{}': {},Không tìm thấy Nhân viên cho giá trị trường nhân viên đã cung cấp. '{}': {},
No Leaves Allocated to Employee: {0} for Leave Type: {1},Không có ngày nghỉ được phân bổ cho Nhân viên: {0} cho Loại nghỉ: {1},
Only expired allocation can be cancelled,Chỉ có phân bổ đã hết hạn mới có thể hủy bỏ,
Only users with the {0} role can create backdated leave applications,Chỉ người dùng có vai trò {0} mới có thể tạo đơn xin nghỉ hẹn ngày quá khứ.,
Password policy cannot contain spaces or simultaneous hyphens. The format will be restructured automatically,Politica mật khẩu không thể chứa khoảng trắng hoặc dấu gạch ngang đồng thời. Định dạng sẽ được tự động sắp xếp lại,
Please enter the designation,Vui lòng nhập chức vụ,
There are no vacancies under staffing plan {0},Không có vị trí trống dưới kế hoạch nhân sự {0},
This employee already has a log with the same timestamp.{0},Nhân viên này đã có một nhật ký với cùng thời điểm {0}.,
Timing,Thời gian,
To date needs to be before from date,Thời gian kết thúc phải trước thời gian bắt đầu,
Total Early Exits,Tổng số ra sớm,
Total Late Entries,Tổng số vào trễ,
Training Event:,Sự kiện Đào tạo:,
Unable to find Salary Component {0},Không thể tìm thấy Phần lương {0},
Unmarked Attendance for days,Không điểm danh cho các ngày,
Vacancies cannot be lower than the current openings,Không được phép ít hơn số vị trí hiện tại,
{} is an invalid Attendance Status.,{} là Trạng thái tham dự không hợp lệ.,
Printed On,In vào lúc,
No employee found,Không tìm thấy Nhân viên nào,
Please setup Employee Naming System in Human Resource > HR Settings,Vui lòng thiết lập Hệ thống đặt tên Nhân viên trong Tài nguyên Nhân sự > Cài đặt HR,
Please setup numbering series for Attendance via Setup > Numbering Series,Vui lòng thiết lập dãy số đánh số cho Điểm danh qua Cài đặt > Dãy số,
Current Odometer Value should be greater than Last Odometer Value {0},Giá trị Công tơ mét hiện tại phải lớn hơn Giá trị Công tơ mét cuối cùng {0},
No additional expenses has been added,Chưa thêm chi phí bổ sung,
{0} already exists for employee {1} and period {2},{0} đã tồn tại cho nhân viên {1} và khoảng thời gian {2},
Leaves Allocated,Phân bổ Nghỉ phép,
Leave Without Pay does not match with approved {} records,Nghỉ không lương không khớp với hồ sơ {} được phê duyệt,
Leave(s) Expired,Ngày hết hiệu lực
Leave(s) Taken,Đã dùng
Income Tax Slab not set in Salary Structure Assignment: {0},Bảng Thuế Thu nhập không được đặt trong Phân định Cơ cấu Tiền lương: {0},
Income Tax Slab: {0} is disabled,Bảng kê khai thuế thu nhập: {0} bị vô hiệu hóa,
Income Tax Slab must be effective on or before Payroll Period Start Date: {0},Bảng kê khai thuế thu nhập phải có hiệu lực vào hoặc trước Ngày bắt đầu kỳ tính lương: {0},
No leave record found for employee {0} on {1},Không tìm thấy hồ sơ nghỉ phép cho nhân viên {0} vào ngày {1},
Row {0}: {1} is required in the expenses table to book an expense claim.,Dòng {0}: {1} cần thiết trong bảng chi phí để đặt yêu cầu chi phí.,
Set the default account for the {0} {1},Thiết lập tài khoản mặc định cho {0} {1},
(Half Day),(Nửa ngày),
Income Tax Slab,Bảng thuế thu nhập cá nhân,
Row #{0}: Cannot set amount or formula for Salary Component {1} with Variable Based On Taxable Salary,Dòng #{0}: Không thể đặt số tiền hoặc công thức cho Thành phần Lương {1} với Biến dựa trên Lương chịu thuế,
Repay From Salary can be selected only for term loans,Chỉ có thể chọn Tái trả từ Lương cho các khoản vay có kỳ hạn,
Salary Component Account,Tài khoản Các thành phần Lương,
Default Bank / Cash account will be automatically updated in Salary Journal Entry when this mode is selected.,Mặc định tài khoản Ngân hàng / Tiền sẽ được tự động cập nhật trong Salary Journal Entry khi chế độ này được chọn.,
Result,Kết quả,
Total Score,Tổng Điểm,
Joining Date,Ngày tham gia,
Publish on website,Xuất bản trên trang web,
Application Status,Trạng thái ứng tuyển,
IN,TRONG,
Remind Before,Nhắc nhở trước,
Reminded,Đã nhắc nhở,
Additional Salary,Lương bổ sung,
HR-ADS-.YY.-.MM.-,HR-ADS-.YY .-. MM.-,
Salary Component,Thành phần Lương,
Overwrite Salary Structure Amount,Ghi đè trên phiếu lương,
Deduct Full Tax on Selected Payroll Date,Khấu trừ thuế đầy đủ vào ngày biên chế được chọn,
Payroll Date,Ngày Lương,
Salary Component Type,Loại Thành phần Lương,
Salary Currency,Đơn vị tiền lương
Appointment Letter,Thư hẹn,
Appointment Date,Ngày hẹn,
Appointment Letter Template,Mẫu thư bổ nhiệm,
Closing Notes,Ghi chú kết thúc,
Appointment Letter content,Nội dung thư hẹn,
Appraisal,Đánh giá,
HR-APR-.YY.-.MM.,HR-APR-.YY.-.MM.,
For Employee Name,Cho Tên nhân viên,
Goals,Mục tiêu,
Total Score (Out of 5),Tổng điểm (Trên 5),
"Any other remarks, noteworthy effort that should go in the records.","Bất kỳ nhận xét khác, nỗ lực đáng chú ý mà nên đi vào biên bản.",
Appraisal Goal,Thẩm định mục tiêu,
Key Responsibility Area,Trách nhiệm chính,
Weightage (%),Trọng số (%),
Score (0-5),Điểm số (0-5),
Score Earned,Điểm Đạt được,
Appraisal Template Title,Tiêu đề mẫu đánh giá,
Appraisal Template Goal,Thẩm định mẫu Mục tiêu,
KRA,KRA,
Key Performance Area,Khu vực thực hiện chính,
HR-ATT-.YYYY.-,HR-ATT-.YYYY.-,
On Leave,Nghỉ phép,
Work From Home,Làm việc từ xa,
Leave Application,Đơn xin nghỉ1,
Attendance Date,Ngày có mặt,
Attendance Request,Giải trình chấm công,
Late Entry,Đi muộn,
Early Exit,Về sớm,
Half Day Date,Kỳ hạn nửa ngày,
On Duty,Làm Nhiệm vụ,
Explanation,Giải trình,
Compensatory Leave Request,Yêu cầu nghỉ bù,
Leave Allocation,Phân bổ nghỉ phép,
Worked On Holiday,Làm việc vào ngày lễ,
Work From Date,Ngày Bắt đầu Làm việc,
Work End Date,Ngày Kết thúc Làm việc,
Email Sent To,Thư điện tử được gửi đến,
Select Users,Chọn Người dùng,
Send Emails At,Gửi Email Lúc,
Reminder,Nhắc nhở,
Daily Work Summary Group User,Người sử dụng Nhóm Tóm lược công việc hàng ngày,
email,e-mail,
Department Approver,Bộ phê duyệt,
Approver,Người Duyệt,
Designation Skill,Kỹ năng chỉ định,
Skill,Kỹ năng,
Leave Policy,Chính sách Nghỉ phép,
Leave Policy Assignment,Phân chính sách nghỉ
Salary Details,Chi tiết tiền lương,
Salary Expectation,Mức lương kỳ vọng
Salary Mode,Phương thức thanh toán
HR-EAD-.YYYY.-,HR-EAD-.YYYY.-,
Claimed,Đã yêu cầu,
Employee Attendance Tool,Chấm công hàng loạt,
Unmarked Attendance,Chưa điểm danh,
Employees HTML,Nhân viên HTML,
Employees without Feedback,Nhân viên không có phản hồi
Marked Attendance,Đã điểm danh,
Marked Attendance HTML,HTML Đã điểm danh,
Employee Benefit Application,Đơn xin hưởng quyền lợi,
Max Benefits (Yearly),Lợi ích tối đa (Hàng năm),
Remaining Benefits (Yearly),Lợi ích còn lại (Hàng năm),
Payroll Period,Kỳ Lương,
Dispensed Amount (Pro-rated),Số tiền được phân phối (Được xếp hạng theo tỷ lệ),
Employee Benefit Application Detail,Chi tiết ứng dụng lợi ích nhân viên,
Earning Component,Thành phần lương,
Pay Against Benefit Claim,Thanh toán Đợt Khiếu nại Lợi ích,
Max Benefit Amount,Số tiền lợi ích tối đa,
Employee Benefit Claim,Khiếu nại về Quyền lợi Nhân viên,
Claim Date,Ngày yêu cầu,
Claim Benefit For,Yêu cầu quyền lợi cho,
Max Amount Eligible,Số tiền tối đa đủ điều kiện,
Expense Proof,Bằng chứng chi phí,
Employee Boarding Activity,Hoạt động lên máy bay nhân viên,
Activity Name,Tên hoạt động,
Required for Employee Creation,Yêu cầu cho việc Tạo Nhân viên,
Applicable in the case of Employee Onboarding,Áp dụng trong trường hợp giới thiệu nhân viên,
Employee Checkin,Bản ghi chấm công,
Log Type,Loại chấm công,
OUT,RA KHỎI,
Location / Device ID,Vị trí / ID Thiết bị,
Skip Auto Attendance,Bỏ qua Điểm danh Tự động,
Shift Start,Bắt đầu Ca làm việc,
Shift End,Kết thúc Ca làm việc,
Shift Actual Start,Ca bắt đầu thực tế,
Shift Actual End,Kết thúc Ca làm việc thực tế,
Default Salary Structure,Cơ cấu lương mặc định,
Employee Health Insurance,Bảo hiểm sức khỏe nhân viên,
Health Insurance Name,Tên Bảo hiểm Y tế,
Employee Incentive,Thưởng khuyến khích,
Incentive Amount,Số tiền khuyến khích,
